,Date,State,Population,Pop (mil),3 Day Pos Inc Avg,7 Day Pos Inc Avg,Positive Cases,Positive Cases per Mil,Positives Increase,Negative Cases,Negatives Increase,3 Day Testing Inc Avg,Total Tests,Tests per Mil,Total Tests Increase,Hospitalized,Hospitalized per Mil,Hospitalized Increase,3 Day Hospitalized Inc Avg,Deaths,Deaths per Mil,Deaths Increase,3 Day Deaths Inc Avg
0,2020-04-28,AK,"731,545",0.73,4.0,3.14,351.0,480.82,6.0,16738.0,827.0,452.33,17089.0,23409.59,833.0,0.0,0.0,0.0,0.0,9.0,12.33,0.0,0.0
1,2020-04-27,AK,"731,545",0.73,2.0,3.43,345.0,472.6,4.0,15911.0,75.0,1325.0,16256.0,22268.49,79.0,0.0,0.0,0.0,0.0,9.0,12.33,0.0,0.0
2,2020-04-26,AK,"731,545",0.73,1.33,3.14,341.0,467.12,2.0,15836.0,443.0,1338.67,16177.0,22160.27,445.0,0.0,0.0,0.0,0.0,9.0,12.33,0.0,0.0
3,2020-04-25,AK,"731,545",0.73,1.33,3.57,339.0,464.38,0.0,15393.0,3451.0,1191.0,15732.0,21550.68,3451.0,0.0,0.0,0.0,0.0,9.0,12.33,0.0,0.0
4,2020-04-24,AK,"731,545",0.73,3.33,4.29,339.0,464.38,2.0,11942.0,118.0,387.33,12281.0,16823.29,120.0,0.0,0.0,0.0,0.0,9.0,12.33,0.0,0.0
5,2020-04-23,AK,"731,545",0.73,5.33,5.29,337.0,461.64,2.0,11824.0,0.0,679.0,12161.0,16658.9,2.0,0.0,0.0,0.0,0.0,9.0,12.33,0.0,0.0
6,2020-04-22,AK,"731,545",0.73,5.33,6.0,335.0,458.9,6.0,11824.0,1034.0,754.67,12159.0,16656.16,1040.0,36.0,49.32,0.0,0.0,9.0,12.33,0.0,0.0
7,2020-04-21,AK,"731,545",0.73,5.0,6.29,329.0,450.68,8.0,10790.0,987.0,488.0,11119.0,15231.51,995.0,36.0,49.32,0.0,0.0,9.0,12.33,0.0,0.0
8,2020-04-20,AK,"731,545",0.73,4.0,6.29,321.0,439.73,2.0,9803.0,227.0,224.67,10124.0,13868.49,229.0,36.0,49.32,0.0,0.0,9.0,12.33,0.0,0.0
9,2020-04-19,AK,"731,545",0.73,6.33,6.71,319.0,436.99,5.0,9576.0,235.0,386.67,9895.0,13554.79,240.0,36.0,49.32,0.0,0.33,9.0,12.33,0.0,0.0
10,2020-04-18,AK,"731,545",0.73,7.0,8.14,314.0,430.14,5.0,9341.0,200.0,330.33,9655.0,13226.03,205.0,36.0,49.32,0.0,0.67,9.0,12.33,0.0,0.0
11,2020-04-17,AK,"731,545",0.73,8.0,9.0,309.0,423.29,9.0,9141.0,706.0,367.33,9450.0,12945.21,715.0,36.0,49.32,1.0,1.33,9.0,12.33,0.0,0.0
12,2020-04-16,AK,"731,545",0.73,7.67,9.29,300.0,410.96,7.0,8435.0,64.0,301.67,8735.0,11965.75,71.0,35.0,47.95,1.0,1.0,9.0,12.33,0.0,0.33
13,2020-04-15,AK,"731,545",0.73,7.0,9.57,293.0,401.37,8.0,8371.0,308.0,208.67,8664.0,11868.49,316.0,34.0,46.58,2.0,1.0,9.0,12.33,0.0,0.33
14,2020-04-14,AK,"731,545",0.73,9.33,10.29,285.0,390.41,8.0,8063.0,510.0,205.33,8348.0,11435.62,518.0,32.0,43.84,0.0,0.33,9.0,12.33,1.0,0.33
15,2020-04-13,AK,"731,545",0.73,10.33,12.29,277.0,379.45,5.0,7553.0,-213.0,132.67,7830.0,10726.03,-208.0,32.0,43.84,1.0,1.33,8.0,10.96,0.0,0.33
16,2020-04-12,AK,"731,545",0.73,12.33,12.43,272.0,372.6,15.0,7766.0,291.0,271.67,8038.0,11010.96,306.0,31.0,42.47,0.0,1.33,8.0,10.96,0.0,0.33
17,2020-04-11,AK,"731,545",0.73,10.33,12.29,257.0,352.05,11.0,7475.0,289.0,221.33,7732.0,10591.78,300.0,31.0,42.47,3.0,1.33,8.0,10.96,1.0,0.33
18,2020-04-10,AK,"731,545",0.73,11.0,12.71,246.0,336.99,11.0,7186.0,198.0,173.0,7432.0,10180.82,209.0,28.0,38.36,1.0,1.67,7.0,9.59,0.0,0.33
19,2020-04-09,AK,"731,545",0.73,14.67,13.14,235.0,321.92,9.0,6988.0,146.0,113.33,7223.0,9894.52,155.0,27.0,36.99,0.0,1.33,7.0,9.59,0.0,0.33
20,2020-04-08,AK,"731,545",0.73,13.67,13.29,226.0,309.59,13.0,6842.0,142.0,261.33,7068.0,9682.19,155.0,27.0,36.99,4.0,2.33,7.0,9.59,1.0,0.33
21,2020-04-07,AK,"731,545",0.73,14.0,13.43,213.0,291.78,22.0,6700.0,8.0,291.0,6913.0,9469.86,30.0,23.0,31.51,0.0,2.33,6.0,8.22,0.0,0.33
22,2020-04-06,AK,"731,545",0.73,11.33,11.0,191.0,261.64,6.0,6692.0,593.0,289.0,6883.0,9428.77,599.0,23.0,31.51,3.0,2.67,6.0,8.22,0.0,1.0
23,2020-04-05,AK,"731,545",0.73,14.0,11.86,185.0,253.42,14.0,6099.0,230.0,420.67,6284.0,8608.22,244.0,20.0,27.4,4.0,3.67,6.0,8.22,1.0,1.0
24,2020-04-04,AK,"731,545",0.73,12.67,12.29,171.0,234.25,14.0,5869.0,10.0,479.0,6040.0,8273.97,24.0,16.0,21.92,1.0,2.33,5.0,6.85,2.0,0.67
25,2020-04-03,AK,"731,545",0.73,12.67,12.57,157.0,215.07,14.0,5859.0,980.0,767.67,6016.0,8241.1,994.0,15.0,20.55,6.0,2.67,3.0,4.11,0.0,0.0
26,2020-04-02,AK,"731,545",0.73,9.67,12.0,143.0,195.89,10.0,4879.0,409.0,456.0,5022.0,6879.45,419.0,9.0,12.33,0.0,0.67,3.0,4.11,0.0,0.0
27,2020-04-01,AK,"731,545",0.73,10.33,13.0,133.0,182.19,14.0,4470.0,876.0,423.0,4603.0,6305.48,890.0,9.0,12.33,2.0,1.0,3.0,4.11,0.0,0.33
28,2020-03-31,AK,"731,545",0.73,11.33,11.86,119.0,163.01,5.0,3594.0,54.0,264.0,3713.0,5086.3,59.0,7.0,9.59,0.0,0.67,3.0,4.11,0.0,0.33
29,2020-03-30,AK,"731,545",0.73,15.0,13.14,114.0,156.16,12.0,3540.0,308.0,422.0,3654.0,5005.48,320.0,7.0,9.59,1.0,1.33,3.0,4.11,1.0,0.67
30,2020-03-29,AK,"731,545",0.73,14.33,11.43,102.0,139.73,17.0,3232.0,396.0,491.33,3334.0,4567.12,413.0,6.0,8.22,1.0,1.0,2.0,2.74,0.0,0.33
31,2020-03-28,AK,"731,545",0.73,14.33,10.14,85.0,116.44,16.0,2836.0,517.0,410.0,2921.0,4001.37,533.0,5.0,6.85,2.0,1.33,2.0,2.74,1.0,0.33
32,2020-03-27,AK,"731,545",0.73,11.0,8.14,69.0,94.52,10.0,2319.0,518.0,455.33,2388.0,3271.23,528.0,3.0,4.11,0.0,1.0,1.0,1.37,0.0,0.33
33,2020-03-26,AK,"731,545",0.73,12.33,7.57,59.0,80.82,17.0,1801.0,152.0,297.33,1860.0,2547.95,169.0,3.0,4.11,2.0,1.0,1.0,1.37,0.0,0.33
