,Date,State,Population,Pop (mil),3 Day Pos Inc Avg,7 Day Pos Inc Avg,Positive Cases,Positive Cases per Mil,Positives Increase,Negative Cases,Negatives Increase,3 Day Testing Inc Avg,Total Tests,Tests per Mil,Total Tests Increase,Hospitalized,Hospitalized per Mil,Hospitalized Increase,3 Day Hospitalized Inc Avg,Deaths,Deaths per Mil,Deaths Increase,3 Day Deaths Inc Avg
0,2020-04-26,AK,"731,545",0.73,1.3333333333333333,3.142857142857143,341.0,0.0021407624633431083,2.0,15836.0,443.0,1338.6666666666667,16177.0,4.512579588304383e-05,445.0,0.0,inf,0.0,0.0,9.0,0.0811111111111111,0.0,0.0
1,2020-04-25,AK,"731,545",0.73,1.3333333333333333,3.5714285714285716,339.0,0.0021533923303834806,0.0,15393.0,3451.0,1191.0,15732.0,4.640223747775235e-05,3451.0,0.0,inf,0.0,0.0,9.0,0.0811111111111111,0.0,0.0
2,2020-04-24,AK,"731,545",0.73,3.3333333333333335,4.285714285714286,339.0,0.0021533923303834806,2.0,11942.0,118.0,387.3333333333333,12281.0,5.944141356567055e-05,120.0,0.0,inf,0.0,0.0,9.0,0.0811111111111111,0.0,0.0
3,2020-04-23,AK,"731,545",0.73,5.333333333333333,5.285714285714286,337.0,0.0021661721068249257,2.0,11824.0,0.0,679.0,12161.0,6.002795822711948e-05,2.0,0.0,inf,0.0,0.0,9.0,0.0811111111111111,0.0,0.0
4,2020-04-22,AK,"731,545",0.73,5.333333333333333,6.0,335.0,0.0021791044776119403,6.0,11824.0,1034.0,754.6666666666666,12159.0,6.0037832058557445e-05,1040.0,36.0,0.020277777777777777,0.0,0.0,9.0,0.0811111111111111,0.0,0.0
5,2020-04-21,AK,"731,545",0.73,5.0,6.285714285714286,329.0,0.0022188449848024316,8.0,10790.0,987.0,488.0,11119.0,6.565338609587192e-05,995.0,36.0,0.020277777777777777,0.0,0.0,9.0,0.0811111111111111,0.0,0.0
6,2020-04-20,AK,"731,545",0.73,4.0,6.285714285714286,321.0,0.002274143302180685,2.0,9803.0,227.0,224.66666666666666,10124.0,7.21058870011853e-05,229.0,36.0,0.020277777777777777,0.0,0.0,9.0,0.0811111111111111,0.0,0.0
7,2020-04-19,AK,"731,545",0.73,6.333333333333333,6.714285714285714,319.0,0.0022884012539184954,5.0,9576.0,235.0,386.6666666666667,9895.0,7.377463365336028e-05,240.0,36.0,0.020277777777777777,0.0,0.3333333333333333,9.0,0.0811111111111111,0.0,0.0
8,2020-04-18,AK,"731,545",0.73,7.0,8.142857142857142,314.0,0.00232484076433121,5.0,9341.0,200.0,330.3333333333333,9655.0,7.560849300880373e-05,205.0,36.0,0.020277777777777777,0.0,0.6666666666666666,9.0,0.0811111111111111,0.0,0.0
9,2020-04-17,AK,"731,545",0.73,8.0,9.0,309.0,0.0023624595469255664,9.0,9141.0,706.0,367.3333333333333,9450.0,7.724867724867724e-05,715.0,36.0,0.020277777777777777,1.0,1.3333333333333333,9.0,0.0811111111111111,0.0,0.0
10,2020-04-16,AK,"731,545",0.73,7.666666666666667,9.285714285714286,300.0,0.0024333333333333334,7.0,8435.0,64.0,301.6666666666667,8735.0,8.357183743560388e-05,71.0,35.0,0.020857142857142855,1.0,1.0,9.0,0.0811111111111111,0.0,0.3333333333333333
11,2020-04-15,AK,"731,545",0.73,7.0,9.571428571428571,293.0,0.002491467576791809,8.0,8371.0,308.0,208.66666666666666,8664.0,8.425669436749769e-05,316.0,34.0,0.021470588235294116,2.0,1.0,9.0,0.0811111111111111,0.0,0.3333333333333333
12,2020-04-14,AK,"731,545",0.73,9.333333333333334,10.285714285714286,285.0,0.00256140350877193,8.0,8063.0,510.0,205.33333333333334,8348.0,8.744609487302348e-05,518.0,32.0,0.0228125,0.0,0.3333333333333333,9.0,0.0811111111111111,1.0,0.3333333333333333
13,2020-04-13,AK,"731,545",0.73,10.333333333333334,12.285714285714286,277.0,0.002635379061371841,5.0,7553.0,-213.0,132.66666666666666,7830.0,9.323116219667943e-05,-208.0,32.0,0.0228125,1.0,1.3333333333333333,8.0,0.09125,0.0,0.3333333333333333
14,2020-04-12,AK,"731,545",0.73,12.333333333333334,12.428571428571429,272.0,0.0026838235294117645,15.0,7766.0,291.0,271.6666666666667,8038.0,9.08186115949241e-05,306.0,31.0,0.023548387096774193,0.0,1.3333333333333333,8.0,0.09125,0.0,0.3333333333333333
15,2020-04-11,AK,"731,545",0.73,10.333333333333334,12.285714285714286,257.0,0.002840466926070039,11.0,7475.0,289.0,221.33333333333334,7732.0,9.441282979824107e-05,300.0,31.0,0.023548387096774193,3.0,1.3333333333333333,8.0,0.09125,1.0,0.3333333333333333
16,2020-04-10,AK,"731,545",0.73,11.0,12.714285714285714,246.0,0.002967479674796748,11.0,7186.0,198.0,173.0,7432.0,9.822389666307858e-05,209.0,28.0,0.026071428571428572,1.0,1.6666666666666667,7.0,0.10428571428571429,0.0,0.3333333333333333
17,2020-04-09,AK,"731,545",0.73,14.666666666666666,13.142857142857142,235.0,0.0031063829787234044,9.0,6988.0,146.0,113.33333333333333,7223.0,0.00010106603904194933,155.0,27.0,0.027037037037037037,0.0,1.3333333333333333,7.0,0.10428571428571429,0.0,0.3333333333333333
18,2020-04-08,AK,"731,545",0.73,13.666666666666666,13.285714285714286,226.0,0.0032300884955752214,13.0,6842.0,142.0,261.3333333333333,7068.0,0.00010328239954725523,155.0,27.0,0.027037037037037037,4.0,2.3333333333333335,7.0,0.10428571428571429,1.0,0.3333333333333333
