,Date,State,Population,Pop (mil),Total Positive Cases,Positive Cases %,Positives Increase,3 Day Pos Inc Avg,7 Day Pos Inc Avg,Positive Cases per Mil,Negative Cases,Negatives Increase,Total Tests,Testing %,Total Tests Increase,3 Day Testing Inc Avg,Tests per Mil,Tests per Mil/Positive Cases,Tests per Mil/Deaths,Total Hospitalized,Hospitalized %,Hospitalized Increase,3 Day Hospitalized Inc Avg,Hospitalized per Mil,Total Deaths,Death %,Deaths Increase,3 Day Deaths Inc Avg,Deaths per Mil,Deaths/Total Tests,Deaths/Positive Cases
0,2020-04-29,AK,"731,545",0.73,355.0,0.049,4.0,4.67,2.86,486.3,18764.0,2026.0,19119.0,2.619,2030.0,980.67,26190.41,73.78,2910.05,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.05,2.54
1,2020-04-29,AL,"4,903,185",4.9,6842.0,0.14,155.0,190.67,196.71,1396.33,73607.0,4467.0,80449.0,1.642,4622.0,2299.33,16418.16,2.4,67.01,945.0,0.005,34.0,33.33,192.86,245.0,0.005,3.0,9.67,50.0,0.3,3.58
2,2020-04-29,AR,"3,017,804",3.02,3192.0,0.106,81.0,83.67,130.86,1056.95,42257.0,4697.0,45449.0,1.505,4778.0,1993.33,15049.34,4.71,255.07,389.0,0.002,389.0,129.67,128.81,59.0,0.002,7.0,3.33,19.54,0.13,1.85
3,2020-04-29,AZ,"7,278,717",7.28,7202.0,0.099,254.0,225.33,249.0,989.29,61611.0,1121.0,68813.0,0.945,1375.0,1334.0,9452.34,1.31,31.09,1131.0,0.004,36.0,31.33,155.36,304.0,0.004,11.0,9.67,41.76,0.44,4.22
4,2020-04-29,CA,"39,512,223",39.51,46500.0,0.118,1469.0,1445.33,1586.29,1176.92,556639.0,24062.0,603139.0,1.527,25531.0,25685.0,15265.48,0.33,8.09,0.0,0.005,0.0,0.0,0.0,1887.0,0.005,78.0,59.0,47.76,0.31,4.06
5,2020-04-29,CO,"5,758,736",5.76,14735.0,0.256,856.0,589.0,612.57,2558.16,54714.0,2252.0,69449.0,1.206,3108.0,3219.33,12057.12,0.82,15.86,2610.0,0.013,125.0,66.67,453.12,760.0,0.013,54.0,29.33,131.94,1.09,5.16
6,2020-04-29,CT,"3,565,287",3.57,26767.0,0.75,455.0,499.33,614.0,7497.76,68051.0,1618.0,94818.0,2.656,2073.0,5002.33,26559.66,0.99,12.25,0.0,0.061,0.0,0.0,0.0,2168.0,0.061,79.0,81.33,607.28,2.29,8.1
7,2020-04-29,DC,"705,749",0.71,4106.0,0.578,112.0,88.33,128.57,5783.1,15123.0,232.0,19229.0,2.708,344.0,387.0,27083.1,6.6,132.11,0.0,0.029,0.0,0.0,0.0,205.0,0.029,15.0,9.0,288.73,1.07,4.99
8,2020-04-29,DE,"973,764",0.97,4655.0,0.48,80.0,207.0,207.86,4798.97,16883.0,278.0,21538.0,2.22,358.0,763.0,22204.12,4.77,154.2,0.0,0.015,0.0,0.0,0.0,144.0,0.015,7.0,8.0,148.45,0.67,3.09
9,2020-04-29,FL,"21,477,737",21.48,33193.0,0.155,347.0,555.0,697.71,1545.3,340295.0,6266.0,373488.0,1.739,6613.0,9625.0,17387.71,0.52,14.02,5624.0,0.006,358.0,156.33,261.82,1240.0,0.006,86.0,48.67,57.73,0.33,3.74
