,Date,State,Population,Pop (mil),Total Positive Cases,Positive Cases %,Positives Increase,3 Day Pos Inc Avg,7 Day Pos Inc Avg,Positive Cases per Mil,Negative Cases,Negatives Increase,Total Tests,Testing %,Total Tests Increase,3 Day Testing Inc Avg,Tests per Mil,Tests per Mil/Positive Cases,Tests per Mil/Deaths,Total Hospitalized,Hospitalized %,Hospitalized Increase,3 Day Hospitalized Inc Avg,Hospitalized per Mil,Total Deaths,Death %,Deaths Increase,3 Day Deaths Inc Avg,Deaths per Mil,Deaths/Total Tests,Deaths/Positive Cases
0,2020-04-30,AK,"731,545",0.73,355.0,0.049,0.0,3.33,2.57,486.3,18764.0,0.0,19119.0,2.619,0.0,954.33,26190.41,73.78,2910.05,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.05,2.54
1,2020-04-29,AK,"731,545",0.73,355.0,0.049,4.0,4.67,2.86,486.3,18764.0,2026.0,19119.0,2.619,2030.0,980.67,26190.41,73.78,2910.05,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.05,2.54
2,2020-04-28,AK,"731,545",0.73,351.0,0.048,6.0,4.0,3.14,480.82,16738.0,827.0,17089.0,2.341,833.0,452.33,23409.59,66.69,2601.07,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.05,2.56
3,2020-04-27,AK,"731,545",0.73,345.0,0.047,4.0,2.0,3.43,472.6,15911.0,75.0,16256.0,2.227,79.0,1325.0,22268.49,64.55,2474.28,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.06,2.61
4,2020-04-26,AK,"731,545",0.73,341.0,0.047,2.0,1.33,3.14,467.12,15836.0,443.0,16177.0,2.216,445.0,1338.67,22160.27,64.99,2462.25,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.06,2.64
5,2020-04-25,AK,"731,545",0.73,339.0,0.046,0.0,1.33,3.57,464.38,15393.0,3451.0,15732.0,2.155,3451.0,1191.0,21550.68,63.57,2394.52,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.06,2.65
6,2020-04-24,AK,"731,545",0.73,339.0,0.046,2.0,3.33,4.29,464.38,11942.0,118.0,12281.0,1.682,120.0,387.33,16823.29,49.63,1869.25,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.07,2.65
7,2020-04-23,AK,"731,545",0.73,337.0,0.046,2.0,5.33,5.29,461.64,11824.0,0.0,12161.0,1.666,2.0,679.0,16658.9,49.43,1850.99,0.0,0.001,0.0,0.0,0.0,9.0,0.001,0.0,0.0,12.33,0.07,2.67
8,2020-04-22,AK,"731,545",0.73,335.0,0.046,6.0,5.33,6.0,458.9,11824.0,1034.0,12159.0,1.666,1040.0,754.67,16656.16,49.72,1850.68,36.0,0.001,0.0,0.0,49.32,9.0,0.001,0.0,0.0,12.33,0.07,2.69
9,2020-04-21,AK,"731,545",0.73,329.0,0.045,8.0,5.0,6.29,450.68,10790.0,987.0,11119.0,1.523,995.0,488.0,15231.51,46.3,1692.39,36.0,0.001,0.0,0.0,49.32,9.0,0.001,0.0,0.0,12.33,0.08,2.74
10,2020-04-20,AK,"731,545",0.73,321.0,0.044,2.0,4.0,6.29,439.73,9803.0,227.0,10124.0,1.387,229.0,224.67,13868.49,43.2,1540.94,36.0,0.001,0.0,0.0,49.32,9.0,0.001,0.0,0.0,12.33,0.09,2.8
11,2020-04-19,AK,"731,545",0.73,319.0,0.044,5.0,6.33,6.71,436.99,9576.0,235.0,9895.0,1.355,240.0,386.67,13554.79,42.49,1506.09,36.0,0.001,0.0,0.33,49.32,9.0,0.001,0.0,0.0,12.33,0.09,2.82
12,2020-04-18,AK,"731,545",0.73,314.0,0.043,5.0,7.0,8.14,430.14,9341.0,200.0,9655.0,1.323,205.0,330.33,13226.03,42.12,1469.56,36.0,0.001,0.0,0.67,49.32,9.0,0.001,0.0,0.0,12.33,0.09,2.87
13,2020-04-17,AK,"731,545",0.73,309.0,0.042,9.0,8.0,9.0,423.29,9141.0,706.0,9450.0,1.295,715.0,367.33,12945.21,41.89,1438.36,36.0,0.001,1.0,1.33,49.32,9.0,0.001,0.0,0.0,12.33,0.1,2.91
14,2020-04-16,AK,"731,545",0.73,300.0,0.041,7.0,7.67,9.29,410.96,8435.0,64.0,8735.0,1.197,71.0,301.67,11965.75,39.89,1329.53,35.0,0.001,1.0,1.0,47.95,9.0,0.001,0.0,0.33,12.33,0.1,3.0
15,2020-04-15,AK,"731,545",0.73,293.0,0.04,8.0,7.0,9.57,401.37,8371.0,308.0,8664.0,1.187,316.0,208.67,11868.49,40.51,1318.72,34.0,0.001,2.0,1.0,46.58,9.0,0.001,0.0,0.33,12.33,0.1,3.07
16,2020-04-14,AK,"731,545",0.73,285.0,0.039,8.0,9.33,10.29,390.41,8063.0,510.0,8348.0,1.144,518.0,205.33,11435.62,40.12,1270.62,32.0,0.001,0.0,0.33,43.84,9.0,0.001,1.0,0.33,12.33,0.11,3.16
