,Date,State,Population,Pop (mil),Total Positive Cases,Positive Cases %,Positives Increase,3 Day Pos Inc Avg,7 Day Pos Inc Avg,Positive Cases per Mil,Negative Cases,Negatives Increase,Total Tests,Testing %,Total Tests Increase,3 Day Testing Inc Avg,Tests per Mil,Tests per Mil/Positive Cases,Tests per Mil/Deaths,Total Hospitalized,Hospitalized %,Hospitalized Increase,3 Day Hospitalized Inc Avg,Hospitalized per Mil,Total Deaths,Death %,Deaths Increase,3 Day Deaths Inc Avg,Deaths per Mil,Deaths/Total Tests,Deaths/Positive Cases
1409,2020-05-05,MN,"5,639,632",5.64,7851.0,0.139,617.0,541.0,524.29,1392.02,80158.0,1451.0,88009,1.56,2068.0,3000.67,15604.43,1.99,34.3,1350.0,0.008,79.0,63.67,239.36,455.0,0.008,27.0,20.0,80.67,0.52,5.8
1410,2020-05-04,MN,"5,639,632",5.64,7234.0,0.128,571.0,501.33,488.29,1282.62,78707.0,2738.0,85941,1.524,3309.0,3704.0,15237.77,2.11,35.6,1271.0,0.008,72.0,58.33,225.35,428.0,0.008,9.0,19.0,75.89,0.5,5.92
1411,2020-05-03,MN,"5,639,632",5.64,6663.0,0.118,435.0,509.0,437.29,1181.38,75969.0,3190.0,82632,1.465,3625.0,4118.67,14651.06,2.2,34.97,1199.0,0.007,40.0,51.67,212.59,419.0,0.007,24.0,25.33,74.29,0.51,6.29
1412,2020-05-02,MN,"5,639,632",5.64,6228.0,0.11,498.0,528.0,397.43,1104.26,72779.0,3680.0,79007,1.401,4178.0,4087.67,14008.33,2.25,35.46,1159.0,0.007,63.0,69.67,205.5,395.0,0.007,24.0,25.33,70.04,0.5,6.34
1413,2020-05-01,MN,"5,639,632",5.64,5730.0,0.102,594.0,516.33,363.57,1015.96,69099.0,3959.0,74829,1.327,4553.0,3666.67,13267.55,2.32,35.76,1096.0,0.007,52.0,61.33,194.33,371.0,0.007,28.0,23.33,65.78,0.5,6.47
1414,2020-04-30,MN,"5,639,632",5.64,5136.0,0.091,492.0,440.0,313.43,910.64,65140.0,3040.0,70276,1.246,3532.0,3002.67,12460.28,2.43,36.33,1044.0,0.006,94.0,61.0,185.11,343.0,0.006,24.0,19.0,60.82,0.49,6.68
1415,2020-04-29,MN,"5,639,632",5.64,4644.0,0.082,463.0,347.33,274.71,823.4,62100.0,2452.0,66744,1.183,2915.0,2585.67,11834.04,2.55,37.1,950.0,0.006,38.0,40.33,168.44,319.0,0.006,18.0,15.67,56.56,0.48,6.87
1416,2020-04-28,MN,"5,639,632",5.64,4181.0,0.074,365.0,245.0,230.57,741.31,59648.0,2196.0,63829,1.132,2561.0,2410.67,11317.2,2.71,37.6,912.0,0.005,51.0,38.33,161.7,301.0,0.005,15.0,19.0,53.37,0.47,7.2
1417,2020-04-27,MN,"5,639,632",5.64,3816.0,0.068,214.0,210.33,192.29,676.6,57452.0,2067.0,61268,1.086,2281.0,2493.67,10863.12,2.85,37.98,861.0,0.005,32.0,35.0,152.66,286.0,0.005,14.0,21.67,50.71,0.47,7.49
1418,2020-04-26,MN,"5,639,632",5.64,3602.0,0.064,156.0,220.0,178.0,638.65,55385.0,2234.0,58987,1.046,2390.0,2479.67,10458.69,2.9,38.45,829.0,0.005,32.0,39.0,146.99,272.0,0.005,28.0,24.0,48.23,0.46,7.55
1419,2020-04-25,MN,"5,639,632",5.64,3446.0,0.061,261.0,241.67,176.14,610.99,53151.0,2549.0,56597,1.003,2810.0,2417.67,10034.93,2.91,41.13,797.0,0.004,41.0,45.67,141.31,244.0,0.004,23.0,21.67,43.26,0.43,7.08
1420,2020-04-24,MN,"5,639,632",5.64,3185.0,0.056,243.0,206.0,159.14,564.72,50602.0,1996.0,53787,0.954,2239.0,2030.0,9536.7,2.99,43.15,756.0,0.004,44.0,42.33,134.04,221.0,0.004,21.0,20.33,39.18,0.41,6.94
