State ,Population,Pop (mil)
AL,"4,903,185",4.90
AK,"731,545",0.73
AZ,"7,278,717",7.28
AR,"3,017,804",3.02
CA,"39,512,223",39.51
CO,"5,758,736",5.76
CT,"3,565,287",3.57
DE,"973,764",0.97
DC,"705,749",0.71
FL,"21,477,737",21.48
GA,"10,617,423",10.62
HI,"1,415,872",1.42
ID,"1,787,065",1.79
IL,"12,671,821",12.67
IN,"6,732,219",6.73
IA,"3,155,070",3.16
KS,"2,913,314",2.91
KY,"4,467,673",4.47
LA,"4,648,794",4.65
ME,"1,344,212",1.34
MD,"6,045,680",6.05
MA,"6,892,503",6.89
MI,"9,986,857",9.99
MN,"5,639,632",5.64
MS,"2,976,149",2.98
MO,"6,137,428",6.14
MT,"1,068,778",1.07
NE,"1,934,408",1.93
NV,"3,080,156",3.08
NH,"1,359,711",1.36
NJ,"8,882,190",8.88
NM,"2,096,829",2.10
NY,"19,453,561",19.45
NC,"10,488,084",10.49
ND,"762,062",0.76
OH,"11,689,100",11.69
OK,"3,956,971",3.96
OR,"4,217,737",4.22
PA,"12,801,989",12.80
RI,"1,059,361",1.06
SC,"5,148,714",5.15
SD,"884,659",0.88
TN,"6,829,174",6.83
TX,"28,995,881",29.00
UT,"3,205,958",3.21
VT,"623,989",0.62
VA,"8,535,519",8.54
WA,"7,614,893",7.61
WV,"1,792,147",1.79
WI,"5,822,434",5.82
WY,"578,759",0.58
